"Year","Rider","Rnk.Dauphine","Rnk.Tour","Rnk.TourDeSuisse"
2002,"Grux Alexandre",82,NA,NA
2002,"Guerini Giuseppe",NA,80,22
2002,"Guerra Alessandro",NA,NA,91
2002,"Guesdon Frédéric",68,NA,NA
2002,"Gustov Volodymyr",NA,40,NA
2002,"Gutiérrez José Enrique",36,29,NA
2002,"Halgand Patrice",21,52,NA
2002,"Hamburger Bo",NA,NA,63
2002,"Hamilton Tyler",NA,15,NA
2002,"Hauptman Andrej",NA,NA,79
2002,"Hendrix Sascha",NA,NA,81
2002,"Heras Roberto",NA,9,NA
2002,"Hinault Sébastien",77,147,NA
2002,"Hincapie George",NA,59,NA
2002,"Honchar Serhiy",NA,64,NA
2002,"Hondo Danilo",NA,104,NA
2002,"Horrillo Pedro",NA,107,NA
2002,"Hunter Robert",NA,97,75
2002,"Huser Rolf",NA,NA,76
2002,"Hushovd Thor",NA,112,NA
2002,"Hvastija Martin",NA,128,NA
2002,"Ivanov Ruslan",NA,NA,67
2002,"Ivanov Serguei",NA,81,51
2002,"Jaksche Jörg",NA,31,NA
2002,"Jalabert Laurent",44,42,NA
2002,"Jalabert Nicolas",69,NA,NA
2002,"Jan Xavier",51,NA,NA
2002,"Jenner Christopher",64,NA,NA
2002,"Joachim Benoît",63,89,NA
2002,"Julich Bobby",NA,37,29
2002,"Kashechkin Andrey",65,NA,NA
2002,"Kintana Aitor",7,NA,NA
2002,"Kirchen Kim",NA,NA,42
2002,"Kivilev Andrei",5,21,NA
2002,"Kjaergaard Steffen",80,NA,NA
2002,"Knaven Servais",NA,137,NA
2002,"Konecný Tomáš",NA,65,NA
2002,"Korff André",NA,NA,85
2002,"Kroon Karsten",NA,146,58
2002,"Laiseka Roberto",NA,46,NA
2002,"Lamour Claude",84,NA,NA
2002,"Landis Floyd",2,61,NA
2002,"Langella Anthony",NA,148,NA
2002,"Latasa David",40,84,NA
2002,"Laurent Christophe",43,NA,NA
2002,"Lebreton Lylian",71,NA,NA
2002,"Lefèvre Laurent",14,34,NA
2002,"Leipheimer Levi",NA,8,NA
2002,"Lelli Massimiliano",29,14,NA
2002,"Livingston Kevin",NA,56,36
2002,"Lobato Rubén",NA,NA,16
2002,"Loda Nicola",NA,121,NA
2002,"Loder Thierry",NA,98,47
2002,"Ludewig Jörg",NA,NA,71
2002,"Luttenberger Peter",NA,NA,7
2002,"Magnien Emmanuel",NA,96,NA
2002,"Mancebo Francisco",NA,7,NA
2002,"Marichal Thierry",NA,126,NA
2002,"Martin Ludovic",56,NA,NA
2002,"Martinez Miguel",NA,44,23
2002,"Mattan Nico",75,123,NA
2002,"Mayo Iban",NA,88,NA
2002,"Mazzoleni Eddy",NA,70,NA
2002,"McEwen Robbie",NA,130,NA
2002,"McGee Bradley",46,109,NA
2002,"Menchov Denis",6,93,NA
2002,"Mengin Christophe",NA,86,72
2002,"Merckx Axel",NA,28,NA
2002,"Mikhaylov Gennady",24,92,NA
2002,"Millar David",30,68,NA
2002,"Moerenhout Koos",47,NA,NA
2002,"Moncoutié David",11,13,NA
2002,"Moos Alexandre",NA,NA,11
2002,"Moreau Christophe",3,NA,NA
2002,"Moreni Cristian",NA,66,NA
2002,"Morin Anthony",60,90,NA
2002,"Museeuw Johan",NA,NA,80
2002,"Mändoja Innar",NA,NA,94
2002,"Nazon Damien",NA,151,NA
2002,"Niermann Grischa",NA,51,NA
2002,"Nozal Isidro",NA,38,NA
2002,"O'Grady Stuart",NA,77,NA
2002,"Olano Abraham",NA,78,NA
